
Varste si grupe de varsta, Sexe, Medii de rezidenta, Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Numar persoane, Valoare
Total, Total, Total, Bihor, Anul 1994, Numar persoane, 649284
Total, Total, Total, Bihor, Anul 1995, Numar persoane, 647687
Total, Total, Total, Bihor, Anul 1996, Numar persoane, 644811
Total, Total, Total, Bihor, Anul 1997, Numar persoane, 641904
Total, Total, Total, Bihor, Anul 1998, Numar persoane, 639185
Total, Total, Total, Bihor, Anul 1999, Numar persoane, 637914
Total, Total, Total, Bihor, Anul 2000, Numar persoane, 636374
Total, Total, Total, Bihor, Anul 2001, Numar persoane, 635161
Total, Total, Total, Bihor, Anul 2002, Numar persoane, 632847
Total, Total, Total, Bihor, Anul 2003, Numar persoane, 631056
Total, Total, Total, Bihor, Anul 2004, Numar persoane, 629155
Total, Total, Total, Bihor, Anul 2005, Numar persoane, 627257
Total, Total, Total, Bihor, Anul 2006, Numar persoane, 626219
Total, Total, Total, Bihor, Anul 2007, Numar persoane, 625647
Total, Total, Total, Bihor, Anul 2008, Numar persoane, 625611
Total, Total, Total, Bihor, Anul 2009, Numar persoane, 625286
Total, Total, Total, Bihor, Anul 2010, Numar persoane, 624809
Total, Total, Total, Bihor, Anul 2011, Numar persoane, 624695
Total, Total, Total, Bihor, Anul 2012, Numar persoane, 623756
Total, Total, Total, Bihor, Anul 2013, Numar persoane, 622971
Total, Total, Total, Bihor, Anul 2014, Numar persoane, 621805
Total, Total, Total, Bihor, Anul 2015, Numar persoane, 621043
Total, Total, Total, Bihor, Anul 2016, Numar persoane, 619475
Total, Total, Total, Bihor, Anul 2017, Numar persoane, 618582
Total, Total, Total, Bistrita-Nasaud, Anul 1992, Numar persoane, 331125
Total, Total, Total, Bistrita-Nasaud, Anul 1993, Numar persoane, 331168
Total, Total, Total, Bistrita-Nasaud, Anul 1994, Numar persoane, 331392
Total, Total, Total, Bistrita-Nasaud, Anul 1995, Numar persoane, 331332
Total, Total, Total, Bistrita-Nasaud, Anul 1996, Numar persoane, 331201
Total, Total, Total, Bistrita-Nasaud, Anul 1997, Numar persoane, 330811
Total, Total, Total, Bistrita-Nasaud, Anul 1998, Numar persoane, 330364
Total, Total, Total, Bistrita-Nasaud, Anul 1999, Numar persoane, 329881
Total, Total, Total, Bistrita-Nasaud, Anul 2000, Numar persoane, 329813
Total, Total, Total, Bistrita-Nasaud, Anul 2001, Numar persoane, 329837
Total, Total, Total, Bistrita-Nasaud, Anul 2002, Numar persoane, 330034
Total, Total, Total, Bistrita-Nasaud, Anul 2003, Numar persoane, 330296
Total, Total, Total, Bistrita-Nasaud, Anul 2004, Numar persoane, 330753
Total, Total, Total, Bistrita-Nasaud, Anul 2005, Numar persoane, 330750
Total, Total, Total, Bistrita-Nasaud, Anul 2006, Numar persoane, 330947
Total, Total, Total, Bistrita-Nasaud, Anul 2007, Numar persoane, 330883
Total, Total, Total, Bistrita-Nasaud, Anul 2008, Numar persoane, 330903
Total, Total, Total, Bistrita-Nasaud, Anul 2009, Numar persoane, 331145
Total, Total, Total, Bistrita-Nasaud, Anul 2010, Numar persoane, 331414
Total, Total, Total, Bistrita-Nasaud, Anul 2011, Numar persoane, 331241
Total, Total, Total, Bistrita-Nasaud, Anul 2012, Numar persoane, 330819
Total, Total, Total, Bistrita-Nasaud, Anul 2013, Numar persoane, 330246
Total, Total, Total, Bistrita-Nasaud, Anul 2014, Numar persoane, 329934
Total, Total, Total, Bistrita-Nasaud, Anul 2015, Numar persoane, 329875
Total, Total, Total, Bistrita-Nasaud, Anul 2016, Numar persoane, 329490
Total, Total, Total, Bistrita-Nasaud, Anul 2017, Numar persoane, 329326
Total, Total, Total, Cluj, Anul 1992, Numar persoane, 735031
Total, Total, Total, Cluj, Anul 1993, Numar persoane, 733264
Total, Total, Total, Cluj, Anul 1994, Numar persoane, 731254
Total, Total, Total, Cluj, Anul 1995, Numar persoane, 729478
Total, Total, Total, Cluj, Anul 1996, Numar persoane, 727135
Total, Total, Total, Cluj, Anul 1997, Numar persoane, 724667
Total, Total, Total, Cluj, Anul 1998, Numar persoane, 722474
Total, Total, Total, Cluj, Anul 1999, Numar persoane, 721245
Total, Total, Total, Cluj, Anul 2000, Numar persoane, 720092
Total, Total, Total, Cluj, Anul 2001, Numar persoane, 719086
Total, Total, Total, Cluj, Anul 2002, Numar persoane, 716497
Total, Total, Total, Cluj, Anul 2003, Numar persoane, 712978
Total, Total, Total, Cluj, Anul 2004, Numar persoane, 710306
Total, Total, Total, Cluj, Anul 2005, Numar persoane, 708243
Total, Total, Total, Cluj, Anul 2006, Numar persoane, 706917
Total, Total, Total, Cluj, Anul 2007, Numar persoane, 706855
Total, Total, Total, Cluj, Anul 2008, Numar persoane, 707647
Total, Total, Total, Cluj, Anul 2009, Numar persoane, 709230
Total, Total, Total, Cluj, Anul 2010, Numar persoane, 710977
