
Varste si grupe de varsta, Sexe, Medii de rezidenta, Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Numar persoane, Valoare
Total, Total, Total, Sibiu, Anul 1997, Numar persoane, 455541
Total, Total, Total, Sibiu, Anul 1998, Numar persoane, 454791
Total, Total, Total, Sibiu, Anul 1999, Numar persoane, 454498
Total, Total, Total, Sibiu, Anul 2000, Numar persoane, 454652
Total, Total, Total, Sibiu, Anul 2001, Numar persoane, 455251
Total, Total, Total, Sibiu, Anul 2002, Numar persoane, 455347
Total, Total, Total, Sibiu, Anul 2003, Numar persoane, 455244
Total, Total, Total, Sibiu, Anul 2004, Numar persoane, 455093
Total, Total, Total, Sibiu, Anul 2005, Numar persoane, 455436
Total, Total, Total, Sibiu, Anul 2006, Numar persoane, 455724
Total, Total, Total, Sibiu, Anul 2007, Numar persoane, 456189
Total, Total, Total, Sibiu, Anul 2008, Numar persoane, 457417
Total, Total, Total, Sibiu, Anul 2009, Numar persoane, 458919
Total, Total, Total, Sibiu, Anul 2010, Numar persoane, 460003
Total, Total, Total, Sibiu, Anul 2011, Numar persoane, 461629
Total, Total, Total, Sibiu, Anul 2012, Numar persoane, 462262
Total, Total, Total, Sibiu, Anul 2013, Numar persoane, 462809
Total, Total, Total, Sibiu, Anul 2014, Numar persoane, 463228
Total, Total, Total, Sibiu, Anul 2015, Numar persoane, 464077
Total, Total, Total, Sibiu, Anul 2016, Numar persoane, 464513
Total, Total, Total, Sibiu, Anul 2017, Numar persoane, 465271
Total, Total, Total, MACROREGIUNEA DOI, Anul 1992, Numar persoane, 6861557
Total, Total, Total, MACROREGIUNEA DOI, Anul 1993, Numar persoane, 6860877
Total, Total, Total, MACROREGIUNEA DOI, Anul 1994, Numar persoane, 6863063
Total, Total, Total, MACROREGIUNEA DOI, Anul 1995, Numar persoane, 6863956
Total, Total, Total, MACROREGIUNEA DOI, Anul 1996, Numar persoane, 6863633
Total, Total, Total, MACROREGIUNEA DOI, Anul 1997, Numar persoane, 6853859
Total, Total, Total, MACROREGIUNEA DOI, Anul 1998, Numar persoane, 6854990
Total, Total, Total, MACROREGIUNEA DOI, Anul 1999, Numar persoane, 6862508
Total, Total, Total, MACROREGIUNEA DOI, Anul 2000, Numar persoane, 6869953
Total, Total, Total, MACROREGIUNEA DOI, Anul 2001, Numar persoane, 6878467
Total, Total, Total, MACROREGIUNEA DOI, Anul 2002, Numar persoane, 6881277
Total, Total, Total, MACROREGIUNEA DOI, Anul 2003, Numar persoane, 6877337
Total, Total, Total, MACROREGIUNEA DOI, Anul 2004, Numar persoane, 6869394
Total, Total, Total, MACROREGIUNEA DOI, Anul 2005, Numar persoane, 6863446
Total, Total, Total, MACROREGIUNEA DOI, Anul 2006, Numar persoane, 6859795
Total, Total, Total, MACROREGIUNEA DOI, Anul 2007, Numar persoane, 6850865
Total, Total, Total, MACROREGIUNEA DOI, Anul 2008, Numar persoane, 6844659
Total, Total, Total, MACROREGIUNEA DOI, Anul 2009, Numar persoane, 6838288
Total, Total, Total, MACROREGIUNEA DOI, Anul 2010, Numar persoane, 6829950
Total, Total, Total, MACROREGIUNEA DOI, Anul 2011, Numar persoane, 6814448
Total, Total, Total, MACROREGIUNEA DOI, Anul 2012, Numar persoane, 6801071
Total, Total, Total, MACROREGIUNEA DOI, Anul 2013, Numar persoane, 6798307
Total, Total, Total, MACROREGIUNEA DOI, Anul 2014, Numar persoane, 6800566
Total, Total, Total, MACROREGIUNEA DOI, Anul 2015, Numar persoane, 6814021
Total, Total, Total, MACROREGIUNEA DOI, Anul 2016, Numar persoane, 6803133
Total, Total, Total, MACROREGIUNEA DOI, Anul 2017, Numar persoane, 6796731
Total, Total, Total, Regiunea NORD-EST, Anul 1992, Numar persoane, 3861059
Total, Total, Total, Regiunea NORD-EST, Anul 1993, Numar persoane, 3858147
Total, Total, Total, Regiunea NORD-EST, Anul 1994, Numar persoane, 3859219
Total, Total, Total, Regiunea NORD-EST, Anul 1995, Numar persoane, 3862267
Total, Total, Total, Regiunea NORD-EST, Anul 1996, Numar persoane, 3864826
Total, Total, Total, Regiunea NORD-EST, Anul 1997, Numar persoane, 3861214
Total, Total, Total, Regiunea NORD-EST, Anul 1998, Numar persoane, 3865877
Total, Total, Total, Regiunea NORD-EST, Anul 1999, Numar persoane, 3874428
Total, Total, Total, Regiunea NORD-EST, Anul 2000, Numar persoane, 3883739
Total, Total, Total, Regiunea NORD-EST, Anul 2001, Numar persoane, 3893782
Total, Total, Total, Regiunea NORD-EST, Anul 2002, Numar persoane, 3900361
Total, Total, Total, Regiunea NORD-EST, Anul 2003, Numar persoane, 3902123
Total, Total, Total, Regiunea NORD-EST, Anul 2004, Numar persoane, 3900182
Total, Total, Total, Regiunea NORD-EST, Anul 2005, Numar persoane, 3898728
Total, Total, Total, Regiunea NORD-EST, Anul 2006, Numar persoane, 3899220
Total, Total, Total, Regiunea NORD-EST, Anul 2007, Numar persoane, 3896290
Total, Total, Total, Regiunea NORD-EST, Anul 2008, Numar persoane, 3894241
Total, Total, Total, Regiunea NORD-EST, Anul 2009, Numar persoane, 3892325
Total, Total, Total, Regiunea NORD-EST, Anul 2010, Numar persoane, 3889757
Total, Total, Total, Regiunea NORD-EST, Anul 2011, Numar persoane, 3883093
Total, Total, Total, Regiunea NORD-EST, Anul 2012, Numar persoane, 3879911
Total, Total, Total, Regiunea NORD-EST, Anul 2013, Numar persoane, 3885934
Total, Total, Total, Regiunea NORD-EST, Anul 2014, Numar persoane, 3899889
Total, Total, Total, Regiunea NORD-EST, Anul 2015, Numar persoane, 3924858
Total, Total, Total, Regiunea NORD-EST, Anul 2016, Numar persoane, 3929282
Total, Total, Total, Regiunea NORD-EST, Anul 2017, Numar persoane, 3937780
Total, Total, Total, Bacau, Anul 1992, Numar persoane, 751282
Total, Total, Total, Bacau, Anul 1993, Numar persoane, 752136
Total, Total, Total, Bacau, Anul 1994, Numar persoane, 752914
Total, Total, Total, Bacau, Anul 1995, Numar persoane, 754046
Total, Total, Total, Bacau, Anul 1996, Numar persoane, 754909
Total, Total, Total, Bacau, Anul 1997, Numar persoane, 754692
Total, Total, Total, Bacau, Anul 1998, Numar persoane, 755824
Total, Total, Total, Bacau, Anul 1999, Numar persoane, 757733
Total, Total, Total, Bacau, Anul 2000, Numar persoane, 759162
Total, Total, Total, Bacau, Anul 2001, Numar persoane, 761137
Total, Total, Total, Bacau, Anul 2002, Numar persoane, 762289
Total, Total, Total, Bacau, Anul 2003, Numar persoane, 762369
Total, Total, Total, Bacau, Anul 2004, Numar persoane, 761723
Total, Total, Total, Bacau, Anul 2005, Numar persoane, 761732
Total, Total, Total, Bacau, Anul 2006, Numar persoane, 761451
Total, Total, Total, Bacau, Anul 2007, Numar persoane, 760651
Total, Total, Total, Bacau, Anul 2008, Numar persoane, 760013
Total, Total, Total, Bacau, Anul 2009, Numar persoane, 759080
Total, Total, Total, Bacau, Anul 2010, Numar persoane, 757825
Total, Total, Total, Bacau, Anul 2011, Numar persoane, 754964
Total, Total, Total, Bacau, Anul 2012, Numar persoane, 753218
Total, Total, Total, Bacau, Anul 2013, Numar persoane, 751354
Total, Total, Total, Bacau, Anul 2014, Numar persoane, 749179
Total, Total, Total, Bacau, Anul 2015, Numar persoane, 749763
Total, Total, Total, Bacau, Anul 2016, Numar persoane, 747689
Total, Total, Total, Bacau, Anul 2017, Numar persoane, 745393
Total, Total, Total, Botosani, Anul 1992, Numar persoane, 488990
Total, Total, Total, Botosani, Anul 1993, Numar persoane, 485948
Total, Total, Total, Botosani, Anul 1994, Numar persoane, 484317
Total, Total, Total, Botosani, Anul 1995, Numar persoane, 483185
Total, Total, Total, Botosani, Anul 1996, Numar persoane, 482282
Total, Total, Total, Botosani, Anul 1997, Numar persoane, 480590
Total, Total, Total, Botosani, Anul 1998, Numar persoane, 480343
Total, Total, Total, Botosani, Anul 1999, Numar persoane, 480199
Total, Total, Total, Botosani, Anul 2000, Numar persoane, 480652
Total, Total, Total, Botosani, Anul 2001, Numar persoane, 481143
Total, Total, Total, Botosani, Anul 2002, Numar persoane, 481435
Total, Total, Total, Botosani, Anul 2003, Numar persoane, 481400
Total, Total, Total, Botosani, Anul 2004, Numar persoane, 480949
Total, Total, Total, Botosani, Anul 2005, Numar persoane, 480253
Total, Total, Total, Botosani, Anul 2006, Numar persoane, 479742
Total, Total, Total, Botosani, Anul 2007, Numar persoane, 477623
Total, Total, Total, Botosani, Anul 2008, Numar persoane, 475347
Total, Total, Total, Botosani, Anul 2009, Numar persoane, 473358
Total, Total, Total, Botosani, Anul 2010, Numar persoane, 471089
Total, Total, Total, Botosani, Anul 2011, Numar persoane, 468103
Total, Total, Total, Botosani, Anul 2012, Numar persoane, 465899
Total, Total, Total, Botosani, Anul 2013, Numar persoane, 463994
Total, Total, Total, Botosani, Anul 2014, Numar persoane, 461749
Total, Total, Total, Botosani, Anul 2015, Numar persoane, 459430
Total, Total, Total, Botosani, Anul 2016, Numar persoane, 456404
Total, Total, Total, Botosani, Anul 2017, Numar persoane, 454590
Total, Total, Total, Iasi, Anul 1992, Numar persoane, 823010
Total, Total, Total, Iasi, Anul 1993, Numar persoane, 823187
Total, Total, Total, Iasi, Anul 1994, Numar persoane, 824196
Total, Total, Total, Iasi, Anul 1995, Numar persoane, 826000
Total, Total, Total, Iasi, Anul 1996, Numar persoane, 827892
Total, Total, Total, Iasi, Anul 1997, Numar persoane, 828418
Total, Total, Total, Iasi, Anul 1998, Numar persoane, 831697
Total, Total, Total, Iasi, Anul 1999, Numar persoane, 835820
Total, Total, Total, Iasi, Anul 2000, Numar persoane, 839897
Total, Total, Total, Iasi, Anul 2001, Numar persoane, 843932
Total, Total, Total, Iasi, Anul 2002, Numar persoane, 847263
Total, Total, Total, Iasi, Anul 2003, Numar persoane, 849479
Total, Total, Total, Iasi, Anul 2004, Numar persoane, 850200
Total, Total, Total, Iasi, Anul 2005, Numar persoane, 850649
Total, Total, Total, Iasi, Anul 2006, Numar persoane, 852235
Total, Total, Total, Iasi, Anul 2007, Numar persoane, 854783
Total, Total, Total, Iasi, Anul 2008, Numar persoane, 857689
Total, Total, Total, Iasi, Anul 2009, Numar persoane, 860674
Total, Total, Total, Iasi, Anul 2010, Numar persoane, 863290
Total, Total, Total, Iasi, Anul 2011, Numar persoane, 865229
Total, Total, Total, Iasi, Anul 2012, Numar persoane, 868171
Total, Total, Total, Iasi, Anul 2013, Numar persoane, 877726
Total, Total, Total, Iasi, Anul 2014, Numar persoane, 892215
Total, Total, Total, Iasi, Anul 2015, Numar persoane, 910984
Total, Total, Total, Iasi, Anul 2016, Numar persoane, 921056
Total, Total, Total, Iasi, Anul 2017, Numar persoane, 930179
Total, Total, Total, Neamt, Anul 1992, Numar persoane, 599060
Total, Total, Total, Neamt, Anul 1993, Numar persoane, 598837
Total, Total, Total, Neamt, Anul 1994, Numar persoane, 599451
Total, Total, Total, Neamt, Anul 1995, Numar persoane, 599950
Total, Total, Total, Neamt, Anul 1996, Numar persoane, 599405
Total, Total, Total, Neamt, Anul 1997, Numar persoane, 598134
Total, Total, Total, Neamt, Anul 1998, Numar persoane, 597501
Total, Total, Total, Neamt, Anul 1999, Numar persoane, 597916
Total, Total, Total, Neamt, Anul 2000, Numar persoane, 598465
Total, Total, Total, Neamt, Anul 2001, Numar persoane, 598816
Total, Total, Total, Neamt, Anul 2002, Numar persoane, 598715
Total, Total, Total, Neamt, Anul 2003, Numar persoane, 598350
Total, Total, Total, Neamt, Anul 2004, Numar persoane, 597466
Total, Total, Total, Neamt, Anul 2005, Numar persoane, 596649
Total, Total, Total, Neamt, Anul 2006, Numar persoane, 595695
Total, Total, Total, Neamt, Anul 2007, Numar persoane, 593893
Total, Total, Total, Neamt, Anul 2008, Numar persoane, 592673
Total, Total, Total, Neamt, Anul 2009, Numar persoane, 591338
Total, Total, Total, Neamt, Anul 2010, Numar persoane, 590307
Total, Total, Total, Neamt, Anul 2011, Numar persoane, 588809
Total, Total, Total, Neamt, Anul 2012, Numar persoane, 586824
Total, Total, Total, Neamt, Anul 2013, Numar persoane, 584895
Total, Total, Total, Neamt, Anul 2014, Numar persoane, 582445
Total, Total, Total, Neamt, Anul 2015, Numar persoane, 580834
Total, Total, Total, Neamt, Anul 2016, Numar persoane, 578007
Total, Total, Total, Neamt, Anul 2017, Numar persoane, 575353
Total, Total, Total, Suceava, Anul 1992, Numar persoane, 714687
Total, Total, Total, Suceava, Anul 1993, Numar persoane, 715717
Total, Total, Total, Suceava, Anul 1994, Numar persoane, 717005
Total, Total, Total, Suceava, Anul 1995, Numar persoane, 718599
Total, Total, Total, Suceava, Anul 1996, Numar persoane, 719729
Total, Total, Total, Suceava, Anul 1997, Numar persoane, 720445
Total, Total, Total, Suceava, Anul 1998, Numar persoane, 721285
Total, Total, Total, Suceava, Anul 1999, Numar persoane, 722956
Total, Total, Total, Suceava, Anul 2000, Numar persoane, 724942
Total, Total, Total, Suceava, Anul 2001, Numar persoane, 727468
Total, Total, Total, Suceava, Anul 2002, Numar persoane, 729251
Total, Total, Total, Suceava, Anul 2003, Numar persoane, 729980
Total, Total, Total, Suceava, Anul 2004, Numar persoane, 730511
Total, Total, Total, Suceava, Anul 2005, Numar persoane, 731052
Total, Total, Total, Suceava, Anul 2006, Numar persoane, 732331
Total, Total, Total, Suceava, Anul 2007, Numar persoane, 733242
Total, Total, Total, Suceava, Anul 2008, Numar persoane, 734036
Total, Total, Total, Suceava, Anul 2009, Numar persoane, 735171
Total, Total, Total, Suceava, Anul 2010, Numar persoane, 736324
Total, Total, Total, Suceava, Anul 2011, Numar persoane, 737737
Total, Total, Total, Suceava, Anul 2012, Numar persoane, 738868
Total, Total, Total, Suceava, Anul 2013, Numar persoane, 739991
Total, Total, Total, Suceava, Anul 2014, Numar persoane, 741314
Total, Total, Total, Suceava, Anul 2015, Numar persoane, 743744
Total, Total, Total, Suceava, Anul 2016, Numar persoane, 744854
Total, Total, Total, Suceava, Anul 2017, Numar persoane, 747399
Total, Total, Total, Vaslui, Anul 1992, Numar persoane, 484030
Total, Total, Total, Vaslui, Anul 1993, Numar persoane, 482322
Total, Total, Total, Vaslui, Anul 1994, Numar persoane, 481336
Total, Total, Total, Vaslui, Anul 1995, Numar persoane, 480487
Total, Total, Total, Vaslui, Anul 1996, Numar persoane, 480609
Total, Total, Total, Vaslui, Anul 1997, Numar persoane, 478935
Total, Total, Total, Vaslui, Anul 1998, Numar persoane, 479227
Total, Total, Total, Vaslui, Anul 1999, Numar persoane, 479804
Total, Total, Total, Vaslui, Anul 2000, Numar persoane, 480621
Total, Total, Total, Vaslui, Anul 2001, Numar persoane, 481286
Total, Total, Total, Vaslui, Anul 2002, Numar persoane, 481408
Total, Total, Total, Vaslui, Anul 2003, Numar persoane, 480545
Total, Total, Total, Vaslui, Anul 2004, Numar persoane, 479333
Total, Total, Total, Vaslui, Anul 2005, Numar persoane, 478393
Total, Total, Total, Vaslui, Anul 2006, Numar persoane, 477766
Total, Total, Total, Vaslui, Anul 2007, Numar persoane, 476098
Total, Total, Total, Vaslui, Anul 2008, Numar persoane, 474483
Total, Total, Total, Vaslui, Anul 2009, Numar persoane, 472704
Total, Total, Total, Vaslui, Anul 2010, Numar persoane, 470922
Total, Total, Total, Vaslui, Anul 2011, Numar persoane, 468251
Total, Total, Total, Vaslui, Anul 2012, Numar persoane, 466931
Total, Total, Total, Vaslui, Anul 2013, Numar persoane, 467974
Total, Total, Total, Vaslui, Anul 2014, Numar persoane, 472987
Total, Total, Total, Vaslui, Anul 2015, Numar persoane, 480103
Total, Total, Total, Vaslui, Anul 2016, Numar persoane, 481272
Total, Total, Total, Vaslui, Anul 2017, Numar persoane, 484866
Total, Total, Total, Regiunea SUD-EST, Anul 1992, Numar persoane, 3000498
Total, Total, Total, Regiunea SUD-EST, Anul 1993, Numar persoane, 3002730
Total, Total, Total, Regiunea SUD-EST, Anul 1994, Numar persoane, 3003844
Total, Total, Total, Regiunea SUD-EST, Anul 1995, Numar persoane, 3001689
Total, Total, Total, Regiunea SUD-EST, Anul 1996, Numar persoane, 2998807
Total, Total, Total, Regiunea SUD-EST, Anul 1997, Numar persoane, 2992645
Total, Total, Total, Regiunea SUD-EST, Anul 1998, Numar persoane, 2989113
Total, Total, Total, Regiunea SUD-EST, Anul 1999, Numar persoane, 2988080
Total, Total, Total, Regiunea SUD-EST, Anul 2000, Numar persoane, 2986214
Total, Total, Total, Regiunea SUD-EST, Anul 2001, Numar persoane, 2984685
Total, Total, Total, Regiunea SUD-EST, Anul 2002, Numar persoane, 2980916
Total, Total, Total, Regiunea SUD-EST, Anul 2003, Numar persoane, 2975214
Total, Total, Total, Regiunea SUD-EST, Anul 2004, Numar persoane, 2969212
Total, Total, Total, Regiunea SUD-EST, Anul 2005, Numar persoane, 2964718
Total, Total, Total, Regiunea SUD-EST, Anul 2006, Numar persoane, 2960575
Total, Total, Total, Regiunea SUD-EST, Anul 2007, Numar persoane, 2954575
Total, Total, Total, Regiunea SUD-EST, Anul 2008, Numar persoane, 2950418
Total, Total, Total, Regiunea SUD-EST, Anul 2009, Numar persoane, 2945963
Total, Total, Total, Regiunea SUD-EST, Anul 2010, Numar persoane, 2940193
Total, Total, Total, Regiunea SUD-EST, Anul 2011, Numar persoane, 2931355
Total, Total, Total, Regiunea SUD-EST, Anul 2012, Numar persoane, 2921160
Total, Total, Total, Regiunea SUD-EST, Anul 2013, Numar persoane, 2912373
Total, Total, Total, Regiunea SUD-EST, Anul 2014, Numar persoane, 2900677
Total, Total, Total, Regiunea SUD-EST, Anul 2015, Numar persoane, 2889163
Total, Total, Total, Regiunea SUD-EST, Anul 2016, Numar persoane, 2873851
Total, Total, Total, Regiunea SUD-EST, Anul 2017, Numar persoane, 2858951
Total, Total, Total, Braila, Anul 1992, Numar persoane, 397569
Total, Total, Total, Braila, Anul 1993, Numar persoane, 397139
Total, Total, Total, Braila, Anul 1994, Numar persoane, 396817
Total, Total, Total, Braila, Anul 1995, Numar persoane, 396521
Total, Total, Total, Braila, Anul 1996, Numar persoane, 396155
Total, Total, Total, Braila, Anul 1997, Numar persoane, 395145
Total, Total, Total, Braila, Anul 1998, Numar persoane, 394709
Total, Total, Total, Braila, Anul 1999, Numar persoane, 394430
Total, Total, Total, Braila, Anul 2000, Numar persoane, 393011
Total, Total, Total, Braila, Anul 2001, Numar persoane, 391999
Total, Total, Total, Braila, Anul 2002, Numar persoane, 390803
Total, Total, Total, Braila, Anul 2003, Numar persoane, 389212
Total, Total, Total, Braila, Anul 2004, Numar persoane, 387105
Total, Total, Total, Braila, Anul 2005, Numar persoane, 385470
Total, Total, Total, Braila, Anul 2006, Numar persoane, 384135
Total, Total, Total, Braila, Anul 2007, Numar persoane, 381908
Total, Total, Total, Braila, Anul 2008, Numar persoane, 379622
Total, Total, Total, Braila, Anul 2009, Numar persoane, 377274
Total, Total, Total, Braila, Anul 2010, Numar persoane, 375170
Total, Total, Total, Braila, Anul 2011, Numar persoane, 372373
Total, Total, Total, Braila, Anul 2012, Numar persoane, 369551
Total, Total, Total, Braila, Anul 2013, Numar persoane, 366467
Total, Total, Total, Braila, Anul 2014, Numar persoane, 363235
Total, Total, Total, Braila, Anul 2015, Numar persoane, 360022
Total, Total, Total, Braila, Anul 2016, Numar persoane, 356380
Total, Total, Total, Braila, Anul 2017, Numar persoane, 352881
Total, Total, Total, Buzau, Anul 1992, Numar persoane, 532731
Total, Total, Total, Buzau, Anul 1993, Numar persoane, 530527
Total, Total, Total, Buzau, Anul 1994, Numar persoane, 528816
Total, Total, Total, Buzau, Anul 1995, Numar persoane, 526992
Total, Total, Total, Buzau, Anul 1996, Numar persoane, 525572
Total, Total, Total, Buzau, Anul 1997, Numar persoane, 522747
Total, Total, Total, Buzau, Anul 1998, Numar persoane, 520684
Total, Total, Total, Buzau, Anul 1999, Numar persoane, 518989
Total, Total, Total, Buzau, Anul 2000, Numar persoane, 517750
Total, Total, Total, Buzau, Anul 2001, Numar persoane, 516576
Total, Total, Total, Buzau, Anul 2002, Numar persoane, 514931
Total, Total, Total, Buzau, Anul 2003, Numar persoane, 513258
Total, Total, Total, Buzau, Anul 2004, Numar persoane, 511236
Total, Total, Total, Buzau, Anul 2005, Numar persoane, 509207
Total, Total, Total, Buzau, Anul 2006, Numar persoane, 507129
Total, Total, Total, Buzau, Anul 2007, Numar persoane, 504794
Total, Total, Total, Buzau, Anul 2008, Numar persoane, 502883
Total, Total, Total, Buzau, Anul 2009, Numar persoane, 500997
Total, Total, Total, Buzau, Anul 2010, Numar persoane, 498838
Total, Total, Total, Buzau, Anul 2011, Numar persoane, 496028
Total, Total, Total, Buzau, Anul 2012, Numar persoane, 492971
Total, Total, Total, Buzau, Anul 2013, Numar persoane, 490222
Total, Total, Total, Buzau, Anul 2014, Numar persoane, 486634
Total, Total, Total, Buzau, Anul 2015, Numar persoane, 483057
Total, Total, Total, Buzau, Anul 2016, Numar persoane, 479018
Total, Total, Total, Buzau, Anul 2017, Numar persoane, 475177
Total, Total, Total, Constanta, Anul 1992, Numar persoane, 738687
Total, Total, Total, Constanta, Anul 1993, Numar persoane, 744652
Total, Total, Total, Constanta, Anul 1994, Numar persoane, 748395
Total, Total, Total, Constanta, Anul 1995, Numar persoane, 750247
Total, Total, Total, Constanta, Anul 1996, Numar persoane, 750834
Total, Total, Total, Constanta, Anul 1997, Numar persoane, 751720
Total, Total, Total, Constanta, Anul 1998, Numar persoane, 752104
Total, Total, Total, Constanta, Anul 1999, Numar persoane, 753935
Total, Total, Total, Constanta, Anul 2000, Numar persoane, 755063
Total, Total, Total, Constanta, Anul 2001, Numar persoane, 755775
Total, Total, Total, Constanta, Anul 2002, Numar persoane, 756933
Total, Total, Total, Constanta, Anul 2003, Numar persoane, 757505
Total, Total, Total, Constanta, Anul 2004, Numar persoane, 758397
Total, Total, Total, Constanta, Anul 2005, Numar persoane, 760014
Total, Total, Total, Constanta, Anul 2006, Numar persoane, 761295
Total, Total, Total, Constanta, Anul 2007, Numar persoane, 763144
Total, Total, Total, Constanta, Anul 2008, Numar persoane, 765703
Total, Total, Total, Constanta, Anul 2009, Numar persoane, 768296
Total, Total, Total, Constanta, Anul 2010, Numar persoane, 770028
Total, Total, Total, Constanta, Anul 2011, Numar persoane, 771444
Total, Total, Total, Constanta, Anul 2012, Numar persoane, 771458
Total, Total, Total, Constanta, Anul 2013, Numar persoane, 771785
Total, Total, Total, Constanta, Anul 2014, Numar persoane, 771506
Total, Total, Total, Constanta, Anul 2015, Numar persoane, 770996
Total, Total, Total, Constanta, Anul 2016, Numar persoane, 770220
Total, Total, Total, Constanta, Anul 2017, Numar persoane, 769183
Total, Total, Total, Galati, Anul 1992, Numar persoane, 651826
Total, Total, Total, Galati, Anul 1993, Numar persoane, 652646
Total, Total, Total, Galati, Anul 1994, Numar persoane, 653243
Total, Total, Total, Galati, Anul 1995, Numar persoane, 653435
Total, Total, Total, Galati, Anul 1996, Numar persoane, 653043
Total, Total, Total, Galati, Anul 1997, Numar persoane, 652111
Total, Total, Total, Galati, Anul 1998, Numar persoane, 652442
Total, Total, Total, Galati, Anul 1999, Numar persoane, 653085
Total, Total, Total, Galati, Anul 2000, Numar persoane, 653842
Total, Total, Total, Galati, Anul 2001, Numar persoane, 654787
Total, Total, Total, Galati, Anul 2002, Numar persoane, 654216
Total, Total, Total, Galati, Anul 2003, Numar persoane, 652793
Total, Total, Total, Galati, Anul 2004, Numar persoane, 651296
Total, Total, Total, Galati, Anul 2005, Numar persoane, 649720
Total, Total, Total, Galati, Anul 2006, Numar persoane, 648638
Total, Total, Total, Galati, Anul 2007, Numar persoane, 647030
Total, Total, Total, Galati, Anul 2008, Numar persoane, 645697
Total, Total, Total, Galati, Anul 2009, Numar persoane, 644030
Total, Total, Total, Galati, Anul 2010, Numar persoane, 642573
Total, Total, Total, Galati, Anul 2011, Numar persoane, 640498
Total, Total, Total, Galati, Anul 2012, Numar persoane, 638850
Total, Total, Total, Galati, Anul 2013, Numar persoane, 638367
Total, Total, Total, Galati, Anul 2014, Numar persoane, 636818
Total, Total, Total, Galati, Anul 2015, Numar persoane, 635363
Total, Total, Total, Galati, Anul 2016, Numar persoane, 632255
Total, Total, Total, Galati, Anul 2017, Numar persoane, 629503
Total, Total, Total, Tulcea, Anul 1992, Numar persoane, 271516
Total, Total, Total, Tulcea, Anul 1993, Numar persoane, 270659
Total, Total, Total, Tulcea, Anul 1994, Numar persoane, 269867
Total, Total, Total, Tulcea, Anul 1995, Numar persoane, 268808
Total, Total, Total, Tulcea, Anul 1996, Numar persoane, 268144
Total, Total, Total, Tulcea, Anul 1997, Numar persoane, 267104
Total, Total, Total, Tulcea, Anul 1998, Numar persoane, 266196
Total, Total, Total, Tulcea, Anul 1999, Numar persoane, 265297
Total, Total, Total, Tulcea, Anul 2000, Numar persoane, 264449
Total, Total, Total, Tulcea, Anul 2001, Numar persoane, 263821
Total, Total, Total, Tulcea, Anul 2002, Numar persoane, 262788
Total, Total, Total, Tulcea, Anul 2003, Numar persoane, 261637
Total, Total, Total, Tulcea, Anul 2004, Numar persoane, 260575
Total, Total, Total, Tulcea, Anul 2005, Numar persoane, 259884
Total, Total, Total, Tulcea, Anul 2006, Numar persoane, 259314
Total, Total, Total, Tulcea, Anul 2007, Numar persoane, 258172
Total, Total, Total, Tulcea, Anul 2008, Numar persoane, 257108
Total, Total, Total, Tulcea, Anul 2009, Numar persoane, 256021
Total, Total, Total, Tulcea, Anul 2010, Numar persoane, 254894
Total, Total, Total, Tulcea, Anul 2011, Numar persoane, 252936
Total, Total, Total, Tulcea, Anul 2012, Numar persoane, 251436
Total, Total, Total, Tulcea, Anul 2013, Numar persoane, 249845
Total, Total, Total, Tulcea, Anul 2014, Numar persoane, 248139
Total, Total, Total, Tulcea, Anul 2015, Numar persoane, 246521
Total, Total, Total, Tulcea, Anul 2016, Numar persoane, 244392
Total, Total, Total, Tulcea, Anul 2017, Numar persoane, 242286
Total, Total, Total, Vrancea, Anul 1992, Numar persoane, 408169
Total, Total, Total, Vrancea, Anul 1993, Numar persoane, 407107
Total, Total, Total, Vrancea, Anul 1994, Numar persoane, 406706
Total, Total, Total, Vrancea, Anul 1995, Numar persoane, 405686
Total, Total, Total, Vrancea, Anul 1996, Numar persoane, 405059
Total, Total, Total, Vrancea, Anul 1997, Numar persoane, 403818
Total, Total, Total, Vrancea, Anul 1998, Numar persoane, 402978
Total, Total, Total, Vrancea, Anul 1999, Numar persoane, 402344
Total, Total, Total, Vrancea, Anul 2000, Numar persoane, 402099
Total, Total, Total, Vrancea, Anul 2001, Numar persoane, 401727
Total, Total, Total, Vrancea, Anul 2002, Numar persoane, 401245
Total, Total, Total, Vrancea, Anul 2003, Numar persoane, 400809
Total, Total, Total, Vrancea, Anul 2004, Numar persoane, 400603
Total, Total, Total, Vrancea, Anul 2005, Numar persoane, 400423
Total, Total, Total, Vrancea, Anul 2006, Numar persoane, 400064
Total, Total, Total, Vrancea, Anul 2007, Numar persoane, 399527
Total, Total, Total, Vrancea, Anul 2008, Numar persoane, 399405
Total, Total, Total, Vrancea, Anul 2009, Numar persoane, 399345
Total, Total, Total, Vrancea, Anul 2010, Numar persoane, 398690
Total, Total, Total, Vrancea, Anul 2011, Numar persoane, 398076
Total, Total, Total, Vrancea, Anul 2012, Numar persoane, 396894
Total, Total, Total, Vrancea, Anul 2013, Numar persoane, 395687
Total, Total, Total, Vrancea, Anul 2014, Numar persoane, 394345
Total, Total, Total, Vrancea, Anul 2015, Numar persoane, 393204
Total, Total, Total, Vrancea, Anul 2016, Numar persoane, 391586
Total, Total, Total, Vrancea, Anul 2017, Numar persoane, 389921
Total, Total, Total, MACROREGIUNEA TREI, Anul 1992, Numar persoane, 6041033
