
Clasificarea internationala a maladiilor - Revizia a X a 1994, Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Numar persoane, Valoare
Tulburari mintale  boli ale sistemului nervos si ale organelor simturilor (fara bolile cerebrovasculare), Vrancea, Anul 1991, Numar persoane, 97
Tulburari mintale  boli ale sistemului nervos si ale organelor simturilor (fara bolile cerebrovasculare), Vrancea, Anul 1992, Numar persoane, 81
Tulburari mintale  boli ale sistemului nervos si ale organelor simturilor (fara bolile cerebrovasculare), Vrancea, Anul 1993, Numar persoane, 98
Tulburari mentale si de comportament, TOTAL, Anul 1994, Numar persoane, 1995
Tulburari mentale si de comportament, TOTAL, Anul 1995, Numar persoane, 2062
Tulburari mentale si de comportament, TOTAL, Anul 1996, Numar persoane, 2080
Tulburari mentale si de comportament, TOTAL, Anul 1997, Numar persoane, 2404
Tulburari mentale si de comportament, TOTAL, Anul 1998, Numar persoane, 1784
Tulburari mentale si de comportament, TOTAL, Anul 1999, Numar persoane, 1373
Tulburari mentale si de comportament, TOTAL, Anul 2000, Numar persoane, 1208
Tulburari mentale si de comportament, TOTAL, Anul 2001, Numar persoane, 1069
Tulburari mentale si de comportament, TOTAL, Anul 2002, Numar persoane, 1214
Tulburari mentale si de comportament, TOTAL, Anul 2003, Numar persoane, 1109
Tulburari mentale si de comportament, TOTAL, Anul 2004, Numar persoane, 911
Tulburari mentale si de comportament, TOTAL, Anul 2005, Numar persoane, 697
Tulburari mentale si de comportament, TOTAL, Anul 2006, Numar persoane, 563
Tulburari mentale si de comportament, TOTAL, Anul 2007, Numar persoane, 588
Tulburari mentale si de comportament, TOTAL, Anul 2008, Numar persoane, 593
Tulburari mentale si de comportament, TOTAL, Anul 2009, Numar persoane, 618
Tulburari mentale si de comportament, TOTAL, Anul 2010, Numar persoane, 618
Tulburari mentale si de comportament, TOTAL, Anul 2011, Numar persoane, 427
Tulburari mentale si de comportament, TOTAL, Anul 2012, Numar persoane, 347
Tulburari mentale si de comportament, TOTAL, Anul 2013, Numar persoane, 346
Tulburari mentale si de comportament, TOTAL, Anul 2014, Numar persoane, 368
Tulburari mentale si de comportament, TOTAL, Anul 2015, Numar persoane, 321
Tulburari mentale si de comportament, TOTAL, Anul 2016, Numar persoane, 368
Tulburari mentale si de comportament, MACROREGIUNEA UNU, Anul 1994, Numar persoane, 534
Tulburari mentale si de comportament, MACROREGIUNEA UNU, Anul 1995, Numar persoane, 565
Tulburari mentale si de comportament, MACROREGIUNEA UNU, Anul 1996, Numar persoane, 451
Tulburari mentale si de comportament, MACROREGIUNEA UNU, Anul 1997, Numar persoane, 501
Tulburari mentale si de comportament, MACROREGIUNEA UNU, Anul 1998, Numar persoane, 359
Tulburari mentale si de comportament, MACROREGIUNEA UNU, Anul 1999, Numar persoane, 252
Tulburari mentale si de comportament, MACROREGIUNEA UNU, Anul 2000, Numar persoane, 212
Tulburari mentale si de comportament, MACROREGIUNEA UNU, Anul 2001, Numar persoane, 175
Tulburari mentale si de comportament, MACROREGIUNEA UNU, Anul 2002, Numar persoane, 182
Tulburari mentale si de comportament, MACROREGIUNEA UNU, Anul 2003, Numar persoane, 191
Tulburari mentale si de comportament, MACROREGIUNEA UNU, Anul 2004, Numar persoane, 153
Tulburari mentale si de comportament, MACROREGIUNEA UNU, Anul 2005, Numar persoane, 96
Tulburari mentale si de comportament, MACROREGIUNEA UNU, Anul 2006, Numar persoane, 78
Tulburari mentale si de comportament, MACROREGIUNEA UNU, Anul 2007, Numar persoane, 80
Tulburari mentale si de comportament, MACROREGIUNEA UNU, Anul 2008, Numar persoane, 84
Tulburari mentale si de comportament, MACROREGIUNEA UNU, Anul 2009, Numar persoane, 83
Tulburari mentale si de comportament, MACROREGIUNEA UNU, Anul 2010, Numar persoane, 86
Tulburari mentale si de comportament, MACROREGIUNEA UNU, Anul 2011, Numar persoane, 58
Tulburari mentale si de comportament, MACROREGIUNEA UNU, Anul 2012, Numar persoane, 45
Tulburari mentale si de comportament, MACROREGIUNEA UNU, Anul 2013, Numar persoane, 50
Tulburari mentale si de comportament, MACROREGIUNEA UNU, Anul 2014, Numar persoane, 50
Tulburari mentale si de comportament, MACROREGIUNEA UNU, Anul 2015, Numar persoane, 28
Tulburari mentale si de comportament, MACROREGIUNEA UNU, Anul 2016, Numar persoane, 43
Tulburari mentale si de comportament, Regiunea NORD-VEST, Anul 1994, Numar persoane, 377
Tulburari mentale si de comportament, Regiunea NORD-VEST, Anul 1995, Numar persoane, 360
Tulburari mentale si de comportament, Regiunea NORD-VEST, Anul 1996, Numar persoane, 290
Tulburari mentale si de comportament, Regiunea NORD-VEST, Anul 1997, Numar persoane, 308
Tulburari mentale si de comportament, Regiunea NORD-VEST, Anul 1998, Numar persoane, 213
Tulburari mentale si de comportament, Regiunea NORD-VEST, Anul 1999, Numar persoane, 112
Tulburari mentale si de comportament, Regiunea NORD-VEST, Anul 2000, Numar persoane, 103
Tulburari mentale si de comportament, Regiunea NORD-VEST, Anul 2001, Numar persoane, 92
Tulburari mentale si de comportament, Regiunea NORD-VEST, Anul 2002, Numar persoane, 100
Tulburari mentale si de comportament, Regiunea NORD-VEST, Anul 2003, Numar persoane, 101
Tulburari mentale si de comportament, Regiunea NORD-VEST, Anul 2004, Numar persoane, 101
Tulburari mentale si de comportament, Regiunea NORD-VEST, Anul 2005, Numar persoane, 51
Tulburari mentale si de comportament, Regiunea NORD-VEST, Anul 2006, Numar persoane, 49
Tulburari mentale si de comportament, Regiunea NORD-VEST, Anul 2007, Numar persoane, 46
Tulburari mentale si de comportament, Regiunea NORD-VEST, Anul 2008, Numar persoane, 50
Tulburari mentale si de comportament, Regiunea NORD-VEST, Anul 2009, Numar persoane, 50
Tulburari mentale si de comportament, Regiunea NORD-VEST, Anul 2010, Numar persoane, 54
Tulburari mentale si de comportament, Regiunea NORD-VEST, Anul 2011, Numar persoane, 24
Tulburari mentale si de comportament, Regiunea NORD-VEST, Anul 2012, Numar persoane, 25
Tulburari mentale si de comportament, Regiunea NORD-VEST, Anul 2013, Numar persoane, 27
Tulburari mentale si de comportament, Regiunea NORD-VEST, Anul 2014, Numar persoane, 29
Tulburari mentale si de comportament, Regiunea NORD-VEST, Anul 2015, Numar persoane, 19
Tulburari mentale si de comportament, Regiunea NORD-VEST, Anul 2016, Numar persoane, 27
Tulburari mentale si de comportament, Bihor, Anul 1994, Numar persoane, 97
Tulburari mentale si de comportament, Bihor, Anul 1995, Numar persoane, 91
Tulburari mentale si de comportament, Bihor, Anul 1996, Numar persoane, 84
Tulburari mentale si de comportament, Bihor, Anul 1997, Numar persoane, 70
Tulburari mentale si de comportament, Bihor, Anul 1998, Numar persoane, 43
Tulburari mentale si de comportament, Bihor, Anul 1999, Numar persoane, 3
Tulburari mentale si de comportament, Bihor, Anul 2000, Numar persoane, 4
Tulburari mentale si de comportament, Bihor, Anul 2001, Numar persoane, 5
Tulburari mentale si de comportament, Bihor, Anul 2002, Numar persoane, 5
Tulburari mentale si de comportament, Bihor, Anul 2003, Numar persoane, 3
Tulburari mentale si de comportament, Bihor, Anul 2004, Numar persoane, 2
Tulburari mentale si de comportament, Bihor, Anul 2005, Numar persoane, 1
Tulburari mentale si de comportament, Bihor, Anul 2006, Numar persoane, 4
Tulburari mentale si de comportament, Bihor, Anul 2008, Numar persoane, 1
Tulburari mentale si de comportament, Bihor, Anul 2009, Numar persoane, 6
Tulburari mentale si de comportament, Bihor, Anul 2010, Numar persoane, 9
Tulburari mentale si de comportament, Bihor, Anul 2012, Numar persoane, 1
Tulburari mentale si de comportament, Bihor, Anul 2016, Numar persoane, 1
Tulburari mentale si de comportament, Bistrita-Nasaud, Anul 1994, Numar persoane, 34
Tulburari mentale si de comportament, Bistrita-Nasaud, Anul 1995, Numar persoane, 39
Tulburari mentale si de comportament, Bistrita-Nasaud, Anul 1996, Numar persoane, 25
Tulburari mentale si de comportament, Bistrita-Nasaud, Anul 1997, Numar persoane, 31
Tulburari mentale si de comportament, Bistrita-Nasaud, Anul 1998, Numar persoane, 33
Tulburari mentale si de comportament, Bistrita-Nasaud, Anul 1999, Numar persoane, 17
Tulburari mentale si de comportament, Bistrita-Nasaud, Anul 2000, Numar persoane, 11
Tulburari mentale si de comportament, Bistrita-Nasaud, Anul 2001, Numar persoane, 3
Tulburari mentale si de comportament, Bistrita-Nasaud, Anul 2002, Numar persoane, 2
Tulburari mentale si de comportament, Bistrita-Nasaud, Anul 2003, Numar persoane, 5
Tulburari mentale si de comportament, Bistrita-Nasaud, Anul 2004, Numar persoane, 7
Tulburari mentale si de comportament, Bistrita-Nasaud, Anul 2005, Numar persoane, 6
Tulburari mentale si de comportament, Bistrita-Nasaud, Anul 2006, Numar persoane, 6
Tulburari mentale si de comportament, Bistrita-Nasaud, Anul 2007, Numar persoane, 5
Tulburari mentale si de comportament, Bistrita-Nasaud, Anul 2008, Numar persoane, 4
Tulburari mentale si de comportament, Bistrita-Nasaud, Anul 2009, Numar persoane, 1
Tulburari mentale si de comportament, Bistrita-Nasaud, Anul 2010, Numar persoane, 2
Tulburari mentale si de comportament, Bistrita-Nasaud, Anul 2014, Numar persoane, 1
Tulburari mentale si de comportament, Cluj, Anul 1994, Numar persoane, 74
Tulburari mentale si de comportament, Cluj, Anul 1995, Numar persoane, 109
Tulburari mentale si de comportament, Cluj, Anul 1996, Numar persoane, 52
Tulburari mentale si de comportament, Cluj, Anul 1997, Numar persoane, 67
Tulburari mentale si de comportament, Cluj, Anul 1998, Numar persoane, 51
Tulburari mentale si de comportament, Cluj, Anul 1999, Numar persoane, 33
Tulburari mentale si de comportament, Cluj, Anul 2000, Numar persoane, 38
Tulburari mentale si de comportament, Cluj, Anul 2001, Numar persoane, 29
Tulburari mentale si de comportament, Cluj, Anul 2002, Numar persoane, 42
Tulburari mentale si de comportament, Cluj, Anul 2003, Numar persoane, 35
Tulburari mentale si de comportament, Cluj, Anul 2004, Numar persoane, 26
Tulburari mentale si de comportament, Cluj, Anul 2005, Numar persoane, 7
Tulburari mentale si de comportament, Cluj, Anul 2006, Numar persoane, 8
Tulburari mentale si de comportament, Cluj, Anul 2007, Numar persoane, 8
Tulburari mentale si de comportament, Cluj, Anul 2008, Numar persoane, 11
Tulburari mentale si de comportament, Cluj, Anul 2009, Numar persoane, 13
Tulburari mentale si de comportament, Cluj, Anul 2010, Numar persoane, 5
Tulburari mentale si de comportament, Cluj, Anul 2011, Numar persoane, 3
Tulburari mentale si de comportament, Cluj, Anul 2013, Numar persoane, 7
Tulburari mentale si de comportament, Cluj, Anul 2014, Numar persoane, 1
Tulburari mentale si de comportament, Cluj, Anul 2015, Numar persoane, 3
Tulburari mentale si de comportament, Cluj, Anul 2016, Numar persoane, 4
Tulburari mentale si de comportament, Maramures, Anul 1994, Numar persoane, 52
Tulburari mentale si de comportament, Maramures, Anul 1995, Numar persoane, 40
Tulburari mentale si de comportament, Maramures, Anul 1996, Numar persoane, 42
Tulburari mentale si de comportament, Maramures, Anul 1997, Numar persoane, 41
Tulburari mentale si de comportament, Maramures, Anul 1998, Numar persoane, 18
Tulburari mentale si de comportament, Maramures, Anul 1999, Numar persoane, 13
Tulburari mentale si de comportament, Maramures, Anul 2000, Numar persoane, 13
Tulburari mentale si de comportament, Maramures, Anul 2001, Numar persoane, 14
Tulburari mentale si de comportament, Maramures, Anul 2002, Numar persoane, 11
Tulburari mentale si de comportament, Maramures, Anul 2003, Numar persoane, 10
Tulburari mentale si de comportament, Maramures, Anul 2004, Numar persoane, 12
Tulburari mentale si de comportament, Maramures, Anul 2005, Numar persoane, 12
Tulburari mentale si de comportament, Maramures, Anul 2006, Numar persoane, 8
Tulburari mentale si de comportament, Maramures, Anul 2007, Numar persoane, 11
Tulburari mentale si de comportament, Maramures, Anul 2008, Numar persoane, 9
Tulburari mentale si de comportament, Maramures, Anul 2009, Numar persoane, 7
Tulburari mentale si de comportament, Maramures, Anul 2010, Numar persoane, 13
Tulburari mentale si de comportament, Maramures, Anul 2011, Numar persoane, 8
Tulburari mentale si de comportament, Maramures, Anul 2012, Numar persoane, 8
Tulburari mentale si de comportament, Maramures, Anul 2013, Numar persoane, 5
Tulburari mentale si de comportament, Maramures, Anul 2014, Numar persoane, 12
Tulburari mentale si de comportament, Maramures, Anul 2015, Numar persoane, 8
Tulburari mentale si de comportament, Maramures, Anul 2016, Numar persoane, 11
Tulburari mentale si de comportament, Satu Mare, Anul 1994, Numar persoane, 73
Tulburari mentale si de comportament, Satu Mare, Anul 1995, Numar persoane, 34
Tulburari mentale si de comportament, Satu Mare, Anul 1996, Numar persoane, 29
Tulburari mentale si de comportament, Satu Mare, Anul 1997, Numar persoane, 35
Tulburari mentale si de comportament, Satu Mare, Anul 1998, Numar persoane, 23
Tulburari mentale si de comportament, Satu Mare, Anul 1999, Numar persoane, 14
Tulburari mentale si de comportament, Satu Mare, Anul 2000, Numar persoane, 19
Tulburari mentale si de comportament, Satu Mare, Anul 2001, Numar persoane, 15
Tulburari mentale si de comportament, Satu Mare, Anul 2002, Numar persoane, 13
Tulburari mentale si de comportament, Satu Mare, Anul 2003, Numar persoane, 24
Tulburari mentale si de comportament, Satu Mare, Anul 2004, Numar persoane, 20
Tulburari mentale si de comportament, Satu Mare, Anul 2005, Numar persoane, 6
Tulburari mentale si de comportament, Satu Mare, Anul 2006, Numar persoane, 7
Tulburari mentale si de comportament, Satu Mare, Anul 2007, Numar persoane, 5
Tulburari mentale si de comportament, Satu Mare, Anul 2008, Numar persoane, 8
Tulburari mentale si de comportament, Satu Mare, Anul 2009, Numar persoane, 18
Tulburari mentale si de comportament, Satu Mare, Anul 2010, Numar persoane, 8
Tulburari mentale si de comportament, Satu Mare, Anul 2011, Numar persoane, 8
Tulburari mentale si de comportament, Satu Mare, Anul 2012, Numar persoane, 6
Tulburari mentale si de comportament, Satu Mare, Anul 2013, Numar persoane, 9
Tulburari mentale si de comportament, Satu Mare, Anul 2014, Numar persoane, 5
Tulburari mentale si de comportament, Satu Mare, Anul 2015, Numar persoane, 3
Tulburari mentale si de comportament, Satu Mare, Anul 2016, Numar persoane, 6
Tulburari mentale si de comportament, Salaj, Anul 1994, Numar persoane, 47
Tulburari mentale si de comportament, Salaj, Anul 1995, Numar persoane, 47
Tulburari mentale si de comportament, Salaj, Anul 1996, Numar persoane, 58
Tulburari mentale si de comportament, Salaj, Anul 1997, Numar persoane, 64
Tulburari mentale si de comportament, Salaj, Anul 1998, Numar persoane, 45
Tulburari mentale si de comportament, Salaj, Anul 1999, Numar persoane, 32
Tulburari mentale si de comportament, Salaj, Anul 2000, Numar persoane, 18
Tulburari mentale si de comportament, Salaj, Anul 2001, Numar persoane, 26
Tulburari mentale si de comportament, Salaj, Anul 2002, Numar persoane, 27
Tulburari mentale si de comportament, Salaj, Anul 2003, Numar persoane, 24
Tulburari mentale si de comportament, Salaj, Anul 2004, Numar persoane, 34
Tulburari mentale si de comportament, Salaj, Anul 2005, Numar persoane, 19
Tulburari mentale si de comportament, Salaj, Anul 2006, Numar persoane, 16
Tulburari mentale si de comportament, Salaj, Anul 2007, Numar persoane, 17
Tulburari mentale si de comportament, Salaj, Anul 2008, Numar persoane, 17
Tulburari mentale si de comportament, Salaj, Anul 2009, Numar persoane, 5
Tulburari mentale si de comportament, Salaj, Anul 2010, Numar persoane, 17
Tulburari mentale si de comportament, Salaj, Anul 2011, Numar persoane, 5
Tulburari mentale si de comportament, Salaj, Anul 2012, Numar persoane, 10
Tulburari mentale si de comportament, Salaj, Anul 2013, Numar persoane, 6
Tulburari mentale si de comportament, Salaj, Anul 2014, Numar persoane, 10
Tulburari mentale si de comportament, Salaj, Anul 2015, Numar persoane, 5
Tulburari mentale si de comportament, Salaj, Anul 2016, Numar persoane, 5
Tulburari mentale si de comportament, Regiunea CENTRU, Anul 1994, Numar persoane, 157
Tulburari mentale si de comportament, Regiunea CENTRU, Anul 1995, Numar persoane, 205
Tulburari mentale si de comportament, Regiunea CENTRU, Anul 1996, Numar persoane, 161
Tulburari mentale si de comportament, Regiunea CENTRU, Anul 1997, Numar persoane, 193
Tulburari mentale si de comportament, Regiunea CENTRU, Anul 1998, Numar persoane, 146
Tulburari mentale si de comportament, Regiunea CENTRU, Anul 1999, Numar persoane, 140
Tulburari mentale si de comportament, Regiunea CENTRU, Anul 2000, Numar persoane, 109
Tulburari mentale si de comportament, Regiunea CENTRU, Anul 2001, Numar persoane, 83
Tulburari mentale si de comportament, Regiunea CENTRU, Anul 2002, Numar persoane, 82
Tulburari mentale si de comportament, Regiunea CENTRU, Anul 2003, Numar persoane, 90
Tulburari mentale si de comportament, Regiunea CENTRU, Anul 2004, Numar persoane, 52
Tulburari mentale si de comportament, Regiunea CENTRU, Anul 2005, Numar persoane, 45
Tulburari mentale si de comportament, Regiunea CENTRU, Anul 2006, Numar persoane, 29
Tulburari mentale si de comportament, Regiunea CENTRU, Anul 2007, Numar persoane, 34
Tulburari mentale si de comportament, Regiunea CENTRU, Anul 2008, Numar persoane, 34
Tulburari mentale si de comportament, Regiunea CENTRU, Anul 2009, Numar persoane, 33
Tulburari mentale si de comportament, Regiunea CENTRU, Anul 2010, Numar persoane, 32
Tulburari mentale si de comportament, Regiunea CENTRU, Anul 2011, Numar persoane, 34
Tulburari mentale si de comportament, Regiunea CENTRU, Anul 2012, Numar persoane, 20
Tulburari mentale si de comportament, Regiunea CENTRU, Anul 2013, Numar persoane, 23
Tulburari mentale si de comportament, Regiunea CENTRU, Anul 2014, Numar persoane, 21
Tulburari mentale si de comportament, Regiunea CENTRU, Anul 2015, Numar persoane, 9
Tulburari mentale si de comportament, Regiunea CENTRU, Anul 2016, Numar persoane, 16
Tulburari mentale si de comportament, Alba, Anul 1994, Numar persoane, 29
Tulburari mentale si de comportament, Alba, Anul 1995, Numar persoane, 52
Tulburari mentale si de comportament, Alba, Anul 1996, Numar persoane, 38
Tulburari mentale si de comportament, Alba, Anul 1997, Numar persoane, 54
Tulburari mentale si de comportament, Alba, Anul 1998, Numar persoane, 36
Tulburari mentale si de comportament, Alba, Anul 1999, Numar persoane, 24
Tulburari mentale si de comportament, Alba, Anul 2000, Numar persoane, 21
Tulburari mentale si de comportament, Alba, Anul 2001, Numar persoane, 29
Tulburari mentale si de comportament, Alba, Anul 2002, Numar persoane, 19
Tulburari mentale si de comportament, Alba, Anul 2003, Numar persoane, 18
Tulburari mentale si de comportament, Alba, Anul 2004, Numar persoane, 4
Tulburari mentale si de comportament, Alba, Anul 2005, Numar persoane, 6
Tulburari mentale si de comportament, Alba, Anul 2006, Numar persoane, 9
Tulburari mentale si de comportament, Alba, Anul 2007, Numar persoane, 5
Tulburari mentale si de comportament, Alba, Anul 2008, Numar persoane, 3
Tulburari mentale si de comportament, Alba, Anul 2009, Numar persoane, 10
Tulburari mentale si de comportament, Alba, Anul 2010, Numar persoane, 9
Tulburari mentale si de comportament, Alba, Anul 2011, Numar persoane, 16
Tulburari mentale si de comportament, Alba, Anul 2012, Numar persoane, 5
Tulburari mentale si de comportament, Alba, Anul 2013, Numar persoane, 9
Tulburari mentale si de comportament, Alba, Anul 2014, Numar persoane, 3
Tulburari mentale si de comportament, Alba, Anul 2015, Numar persoane, 5
Tulburari mentale si de comportament, Alba, Anul 2016, Numar persoane, 2
Tulburari mentale si de comportament, Brasov, Anul 1994, Numar persoane, 11
Tulburari mentale si de comportament, Brasov, Anul 1995, Numar persoane, 17
Tulburari mentale si de comportament, Brasov, Anul 1996, Numar persoane, 16
Tulburari mentale si de comportament, Brasov, Anul 1997, Numar persoane, 30
Tulburari mentale si de comportament, Brasov, Anul 1998, Numar persoane, 33
Tulburari mentale si de comportament, Brasov, Anul 1999, Numar persoane, 9
Tulburari mentale si de comportament, Brasov, Anul 2000, Numar persoane, 7
Tulburari mentale si de comportament, Brasov, Anul 2001, Numar persoane, 13
Tulburari mentale si de comportament, Brasov, Anul 2002, Numar persoane, 20
Tulburari mentale si de comportament, Brasov, Anul 2003, Numar persoane, 5
Tulburari mentale si de comportament, Brasov, Anul 2004, Numar persoane, 4
Tulburari mentale si de comportament, Brasov, Anul 2005, Numar persoane, 7
Tulburari mentale si de comportament, Brasov, Anul 2006, Numar persoane, 1
Tulburari mentale si de comportament, Brasov, Anul 2007, Numar persoane, 14
Tulburari mentale si de comportament, Brasov, Anul 2008, Numar persoane, 2
Tulburari mentale si de comportament, Brasov, Anul 2009, Numar persoane, 1
Tulburari mentale si de comportament, Covasna, Anul 1994, Numar persoane, 41
Tulburari mentale si de comportament, Covasna, Anul 1995, Numar persoane, 38
Tulburari mentale si de comportament, Covasna, Anul 1996, Numar persoane, 28
Tulburari mentale si de comportament, Covasna, Anul 1997, Numar persoane, 27
Tulburari mentale si de comportament, Covasna, Anul 1998, Numar persoane, 28
Tulburari mentale si de comportament, Covasna, Anul 1999, Numar persoane, 36
Tulburari mentale si de comportament, Covasna, Anul 2000, Numar persoane, 25
Tulburari mentale si de comportament, Covasna, Anul 2001, Numar persoane, 17
Tulburari mentale si de comportament, Covasna, Anul 2002, Numar persoane, 14
Tulburari mentale si de comportament, Covasna, Anul 2003, Numar persoane, 43
Tulburari mentale si de comportament, Covasna, Anul 2004, Numar persoane, 25
Tulburari mentale si de comportament, Covasna, Anul 2005, Numar persoane, 9
Tulburari mentale si de comportament, Covasna, Anul 2006, Numar persoane, 3
Tulburari mentale si de comportament, Covasna, Anul 2007, Numar persoane, 2
Tulburari mentale si de comportament, Covasna, Anul 2008, Numar persoane, 4
Tulburari mentale si de comportament, Covasna, Anul 2009, Numar persoane, 1
Tulburari mentale si de comportament, Covasna, Anul 2010, Numar persoane, 3
Tulburari mentale si de comportament, Covasna, Anul 2011, Numar persoane, 6
Tulburari mentale si de comportament, Covasna, Anul 2012, Numar persoane, 1
Tulburari mentale si de comportament, Covasna, Anul 2013, Numar persoane, 6
Tulburari mentale si de comportament, Covasna, Anul 2014, Numar persoane, 10
Tulburari mentale si de comportament, Harghita, Anul 1994, Numar persoane, 13
Tulburari mentale si de comportament, Harghita, Anul 1995, Numar persoane, 5
Tulburari mentale si de comportament, Harghita, Anul 1996, Numar persoane, 5
Tulburari mentale si de comportament, Harghita, Anul 1997, Numar persoane, 11
Tulburari mentale si de comportament, Harghita, Anul 1998, Numar persoane, 14
Tulburari mentale si de comportament, Harghita, Anul 1999, Numar persoane, 9
Tulburari mentale si de comportament, Harghita, Anul 2000, Numar persoane, 8
Tulburari mentale si de comportament, Harghita, Anul 2001, Numar persoane, 8
Tulburari mentale si de comportament, Harghita, Anul 2002, Numar persoane, 12
Tulburari mentale si de comportament, Harghita, Anul 2003, Numar persoane, 11
Tulburari mentale si de comportament, Harghita, Anul 2004, Numar persoane, 7
Tulburari mentale si de comportament, Harghita, Anul 2005, Numar persoane, 7
Tulburari mentale si de comportament, Harghita, Anul 2006, Numar persoane, 6
Tulburari mentale si de comportament, Harghita, Anul 2007, Numar persoane, 3
Tulburari mentale si de comportament, Harghita, Anul 2008, Numar persoane, 8
Tulburari mentale si de comportament, Harghita, Anul 2009, Numar persoane, 6
Tulburari mentale si de comportament, Harghita, Anul 2010, Numar persoane, 4
Tulburari mentale si de comportament, Harghita, Anul 2011, Numar persoane, 2
Tulburari mentale si de comportament, Harghita, Anul 2012, Numar persoane, 2
Tulburari mentale si de comportament, Harghita, Anul 2013, Numar persoane, 1
Tulburari mentale si de comportament, Harghita, Anul 2016, Numar persoane, 3
Tulburari mentale si de comportament, Mures, Anul 1994, Numar persoane, 45
Tulburari mentale si de comportament, Mures, Anul 1995, Numar persoane, 75
Tulburari mentale si de comportament, Mures, Anul 1996, Numar persoane, 59
Tulburari mentale si de comportament, Mures, Anul 1997, Numar persoane, 60
Tulburari mentale si de comportament, Mures, Anul 1998, Numar persoane, 27
Tulburari mentale si de comportament, Mures, Anul 1999, Numar persoane, 56
Tulburari mentale si de comportament, Mures, Anul 2000, Numar persoane, 42
Tulburari mentale si de comportament, Mures, Anul 2001, Numar persoane, 11
Tulburari mentale si de comportament, Mures, Anul 2002, Numar persoane, 12
Tulburari mentale si de comportament, Mures, Anul 2003, Numar persoane, 10
Tulburari mentale si de comportament, Mures, Anul 2004, Numar persoane, 8
Tulburari mentale si de comportament, Mures, Anul 2005, Numar persoane, 13
Tulburari mentale si de comportament, Mures, Anul 2006, Numar persoane, 9
Tulburari mentale si de comportament, Mures, Anul 2007, Numar persoane, 7
Tulburari mentale si de comportament, Mures, Anul 2008, Numar persoane, 10
Tulburari mentale si de comportament, Mures, Anul 2009, Numar persoane, 12
Tulburari mentale si de comportament, Mures, Anul 2010, Numar persoane, 11
Tulburari mentale si de comportament, Mures, Anul 2011, Numar persoane, 8
Tulburari mentale si de comportament, Mures, Anul 2012, Numar persoane, 9
Tulburari mentale si de comportament, Mures, Anul 2013, Numar persoane, 6
Tulburari mentale si de comportament, Mures, Anul 2014, Numar persoane, 7
Tulburari mentale si de comportament, Mures, Anul 2015, Numar persoane, 3
Tulburari mentale si de comportament, Mures, Anul 2016, Numar persoane, 8
Tulburari mentale si de comportament, Sibiu, Anul 1994, Numar persoane, 18
Tulburari mentale si de comportament, Sibiu, Anul 1995, Numar persoane, 18
Tulburari mentale si de comportament, Sibiu, Anul 1996, Numar persoane, 15
Tulburari mentale si de comportament, Sibiu, Anul 1997, Numar persoane, 11
Tulburari mentale si de comportament, Sibiu, Anul 1998, Numar persoane, 8
Tulburari mentale si de comportament, Sibiu, Anul 1999, Numar persoane, 6
Tulburari mentale si de comportament, Sibiu, Anul 2000, Numar persoane, 6
Tulburari mentale si de comportament, Sibiu, Anul 2001, Numar persoane, 5
Tulburari mentale si de comportament, Sibiu, Anul 2002, Numar persoane, 5
Tulburari mentale si de comportament, Sibiu, Anul 2003, Numar persoane, 3
Tulburari mentale si de comportament, Sibiu, Anul 2004, Numar persoane, 4
Tulburari mentale si de comportament, Sibiu, Anul 2005, Numar persoane, 3
Tulburari mentale si de comportament, Sibiu, Anul 2006, Numar persoane, 1
Tulburari mentale si de comportament, Sibiu, Anul 2007, Numar persoane, 3
Tulburari mentale si de comportament, Sibiu, Anul 2008, Numar persoane, 7
Tulburari mentale si de comportament, Sibiu, Anul 2009, Numar persoane, 3
Tulburari mentale si de comportament, Sibiu, Anul 2010, Numar persoane, 5
Tulburari mentale si de comportament, Sibiu, Anul 2011, Numar persoane, 2
Tulburari mentale si de comportament, Sibiu, Anul 2012, Numar persoane, 3
Tulburari mentale si de comportament, Sibiu, Anul 2013, Numar persoane, 1
Tulburari mentale si de comportament, Sibiu, Anul 2014, Numar persoane, 1
Tulburari mentale si de comportament, Sibiu, Anul 2015, Numar persoane, 1
Tulburari mentale si de comportament, Sibiu, Anul 2016, Numar persoane, 3
Tulburari mentale si de comportament, MACROREGIUNEA DOI, Anul 1994, Numar persoane, 712
Tulburari mentale si de comportament, MACROREGIUNEA DOI, Anul 1995, Numar persoane, 720
Tulburari mentale si de comportament, MACROREGIUNEA DOI, Anul 1996, Numar persoane, 780
Tulburari mentale si de comportament, MACROREGIUNEA DOI, Anul 1997, Numar persoane, 891
Tulburari mentale si de comportament, MACROREGIUNEA DOI, Anul 1998, Numar persoane, 622
Tulburari mentale si de comportament, MACROREGIUNEA DOI, Anul 1999, Numar persoane, 520
Tulburari mentale si de comportament, MACROREGIUNEA DOI, Anul 2000, Numar persoane, 481
Tulburari mentale si de comportament, MACROREGIUNEA DOI, Anul 2001, Numar persoane, 513
Tulburari mentale si de comportament, MACROREGIUNEA DOI, Anul 2002, Numar persoane, 617
Tulburari mentale si de comportament, MACROREGIUNEA DOI, Anul 2003, Numar persoane, 552
Tulburari mentale si de comportament, MACROREGIUNEA DOI, Anul 2004, Numar persoane, 453
Tulburari mentale si de comportament, MACROREGIUNEA DOI, Anul 2005, Numar persoane, 370
