
Clasificarea internationala a maladiilor - Revizia a X a 1994, Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Numar persoane, Valoare
Total, Bihor, Anul 1995, Numar persoane, 9127
Total, Bihor, Anul 1996, Numar persoane, 9314
Total, Bihor, Anul 1997, Numar persoane, 9152
Total, Bihor, Anul 1998, Numar persoane, 8547
Total, Bihor, Anul 1999, Numar persoane, 8636
Total, Bihor, Anul 2000, Numar persoane, 8145
Total, Bihor, Anul 2001, Numar persoane, 8208
Total, Bihor, Anul 2002, Numar persoane, 8303
Total, Bihor, Anul 2003, Numar persoane, 8153
Total, Bihor, Anul 2004, Numar persoane, 8163
Total, Bihor, Anul 2005, Numar persoane, 8018
Total, Bihor, Anul 2006, Numar persoane, 7774
Total, Bihor, Anul 2007, Numar persoane, 7567
Total, Bihor, Anul 2008, Numar persoane, 7497
Total, Bihor, Anul 2009, Numar persoane, 7668
Total, Bihor, Anul 2010, Numar persoane, 7407
Total, Bihor, Anul 2011, Numar persoane, 7210
Total, Bihor, Anul 2012, Numar persoane, 7387
Total, Bihor, Anul 2013, Numar persoane, 7435
Total, Bihor, Anul 2014, Numar persoane, 7280
Total, Bihor, Anul 2015, Numar persoane, 7542
Total, Bihor, Anul 2016, Numar persoane, 7263
Total, Bistrita-Nasaud, Anul 1990, Numar persoane, 3186
Total, Bistrita-Nasaud, Anul 1991, Numar persoane, 3213
Total, Bistrita-Nasaud, Anul 1992, Numar persoane, 3268
Total, Bistrita-Nasaud, Anul 1993, Numar persoane, 3481
Total, Bistrita-Nasaud, Anul 1994, Numar persoane, 3612
Total, Bistrita-Nasaud, Anul 1995, Numar persoane, 3312
Total, Bistrita-Nasaud, Anul 1996, Numar persoane, 3551
Total, Bistrita-Nasaud, Anul 1997, Numar persoane, 3541
Total, Bistrita-Nasaud, Anul 1998, Numar persoane, 3546
Total, Bistrita-Nasaud, Anul 1999, Numar persoane, 3342
Total, Bistrita-Nasaud, Anul 2000, Numar persoane, 3247
Total, Bistrita-Nasaud, Anul 2001, Numar persoane, 3300
Total, Bistrita-Nasaud, Anul 2002, Numar persoane, 3409
Total, Bistrita-Nasaud, Anul 2003, Numar persoane, 3258
Total, Bistrita-Nasaud, Anul 2004, Numar persoane, 3339
Total, Bistrita-Nasaud, Anul 2005, Numar persoane, 3499
Total, Bistrita-Nasaud, Anul 2006, Numar persoane, 3411
Total, Bistrita-Nasaud, Anul 2007, Numar persoane, 3248
Total, Bistrita-Nasaud, Anul 2008, Numar persoane, 3286
Total, Bistrita-Nasaud, Anul 2009, Numar persoane, 3306
Total, Bistrita-Nasaud, Anul 2010, Numar persoane, 3330
Total, Bistrita-Nasaud, Anul 2011, Numar persoane, 3273
Total, Bistrita-Nasaud, Anul 2012, Numar persoane, 3448
Total, Bistrita-Nasaud, Anul 2013, Numar persoane, 3201
Total, Bistrita-Nasaud, Anul 2014, Numar persoane, 3302
Total, Bistrita-Nasaud, Anul 2015, Numar persoane, 3415
Total, Bistrita-Nasaud, Anul 2016, Numar persoane, 3264
Total, Cluj, Anul 1990, Numar persoane, 8057
Total, Cluj, Anul 1991, Numar persoane, 8180
Total, Cluj, Anul 1992, Numar persoane, 8668
Total, Cluj, Anul 1993, Numar persoane, 8838
